Name,ArtifactIdentifier,GenerationName,PrevGenArtifactIdentifier,PrevGenName,RootArtifactIdentifier,CountOfAKAs,PrevGenCountOfAKAs,ChangeInAKAs,TrialArtifact,ExpTransformerIsSyntaxFree,Trial
12445:12445-Analysis-Locked,12445,106-Long Prompt Experiment-Generation-1,,,12445,0.000,,0.000,1042-LOCKED-106-Long Prompt Experiment-Generation-1-106-Long Prompt Experiment-Generation-1-5031-LOCKED-Write a 1 paragraph -2024-08-04-12445-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12445:12446-Analysis-Locked,12446,106-Long Prompt Experiment-Generation-2,12454,106-Long Prompt Experiment-Generation-10,12445,1.000,0.000,1.000,1043-LOCKED-106-Long Prompt Experiment-Generation-2-106-Long Prompt Experiment-Generation-2-5037-LOCKED-Luke and Bishop conv-2024-08-04-12446-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12445:12447-Analysis-Locked,12447,106-Long Prompt Experiment-Generation-3,12446,106-Long Prompt Experiment-Generation-2,12445,0.000,1.000,1.000,1044-LOCKED-106-Long Prompt Experiment-Generation-3-106-Long Prompt Experiment-Generation-3-5040-LOCKED-Sandra and Tom discu-2024-08-04-12447-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12445:12448-Analysis-Locked,12448,106-Long Prompt Experiment-Generation-4,12447,106-Long Prompt Experiment-Generation-3,12445,1.000,0.000,1.000,1045-LOCKED-106-Long Prompt Experiment-Generation-4-106-Long Prompt Experiment-Generation-4-5093-LOCKED-Sandra and Tom analy-2024-08-04-12448-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12445:12449-Analysis-Locked,12449,106-Long Prompt Experiment-Generation-5,12448,106-Long Prompt Experiment-Generation-4,12445,0.000,1.000,1.000,1046-LOCKED-106-Long Prompt Experiment-Generation-5-106-Long Prompt Experiment-Generation-5-5091-LOCKED-Cindy and Joan met t-2024-08-04-12449-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12445:12450-Analysis-Locked,12450,106-Long Prompt Experiment-Generation-6,12449,106-Long Prompt Experiment-Generation-5,12445,7.000,0.000,7.000,1110-LOCKED-106-Long Prompt Experiment-Generation-6-106-Long Prompt Experiment-Generation-6-5036-LOCKED-During a follow-up m-2024-08-04-12450-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12445:12451-Analysis-Locked,12451,106-Long Prompt Experiment-Generation-7,12450,106-Long Prompt Experiment-Generation-6,12445,0.000,7.000,7.000,1111-LOCKED-106-Long Prompt Experiment-Generation-7-106-Long Prompt Experiment-Generation-7-5038-LOCKED-In a development mee-2024-08-04-12451-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12445:12452-Analysis-Locked,12452,106-Long Prompt Experiment-Generation-8,12451,106-Long Prompt Experiment-Generation-7,12445,0.000,0.000,0.000,1112-LOCKED-106-Long Prompt Experiment-Generation-8-106-Long Prompt Experiment-Generation-8-5039-LOCKED-Bob and Mary revisit-2024-08-04-12452-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12445:12453-Analysis-Locked,12453,106-Long Prompt Experiment-Generation-9,12452,106-Long Prompt Experiment-Generation-8,12445,0.000,0.000,0.000,1113-LOCKED-106-Long Prompt Experiment-Generation-9-106-Long Prompt Experiment-Generation-9-5094-LOCKED-In the final review -2024-08-04-12453-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12445:12454-Analysis-Locked,12454,106-Long Prompt Experiment-Generation-10,12445,106-Long Prompt Experiment-Generation-1,12445,0.000,0.000,0.000,1114-LOCKED-106-Long Prompt Experiment-Generation-10-106-Long Prompt Experiment-Generation-10-5092-LOCKED-During their project-2024-08-04-12454-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12465:12465-Analysis-Locked,12465,106-Long Prompt Experiment-Generation-1,,,12465,0.000,,0.000,1042-LOCKED-106-Long Prompt Experiment-Generation-1-106-Long Prompt Experiment-Generation-1-5031-LOCKED-Write a 1 paragraph -2024-08-04-12465-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12465:12466-Analysis-Locked,12466,106-Long Prompt Experiment-Generation-2,12474,106-Long Prompt Experiment-Generation-10,12465,1.000,0.000,1.000,1043-LOCKED-106-Long Prompt Experiment-Generation-2-106-Long Prompt Experiment-Generation-2-5037-LOCKED-Luke and Bishop conv-2024-08-04-12466-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12465:12467-Analysis-Locked,12467,106-Long Prompt Experiment-Generation-3,12466,106-Long Prompt Experiment-Generation-2,12465,0.000,1.000,1.000,1044-LOCKED-106-Long Prompt Experiment-Generation-3-106-Long Prompt Experiment-Generation-3-5040-LOCKED-Sandra and Tom discu-2024-08-04-12467-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12465:12468-Analysis-Locked,12468,106-Long Prompt Experiment-Generation-4,12467,106-Long Prompt Experiment-Generation-3,12465,1.000,0.000,1.000,1045-LOCKED-106-Long Prompt Experiment-Generation-4-106-Long Prompt Experiment-Generation-4-5093-LOCKED-Sandra and Tom analy-2024-08-04-12468-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12465:12469-Analysis-Locked,12469,106-Long Prompt Experiment-Generation-5,12468,106-Long Prompt Experiment-Generation-4,12465,2.000,1.000,1.000,1046-LOCKED-106-Long Prompt Experiment-Generation-5-106-Long Prompt Experiment-Generation-5-5091-LOCKED-Cindy and Joan met t-2024-08-04-12469-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
12465:12470-Analysis-Locked,12470,106-Long Prompt Experiment-Generation-6,12469,106-Long Prompt Experiment-Generation-5,12465,0.000,2.000,2.000,1110-LOCKED-106-Long Prompt Experiment-Generation-6-106-Long Prompt Experiment-Generation-6-5036-LOCKED-During a follow-up m-2024-08-04-12470-Trial-519,0,106-Long Prompt Experiment-Trial-519-2024-08-04
