Name,ArtifactIdentifier,GenerationName,PrevGenArtifactIdentifier,PrevGenName,RootArtifactIdentifier,CountOfCharacteristics,PrevGenCountOfCharacteristics,ChangeInCharacteristics,CountOfAKAs,PrevGenCountOfAKAs,ChangeInAKAs,CountOfMismatches,PrevGenCountOfMismatches,ChangeInMismatches,ExpTransformerIsSyntaxFree
10519:10519-Analysis-Locked,10519,Generation-1,,,10519,4,,0.00,1,,0.00000,0,,0,0
10519:10574-Analysis-Locked,10574,Generation-2,10519,Generation-1,10519,5,4,1.00,5,1,4.00000,0,0,0,0
10519:10616-Analysis-Locked,10616,Generation-3,10574,Generation-2,10519,6,5,1.00,1,5,-4.00000,0,0,0,0
10519:10649-Analysis-Locked,10649,Generation-4,10616,Generation-3,10519,3,6,-3.00,0,1,-1.00000,0,0,0,0
10520:10563-Analysis-Locked,10563,Generation-2,,,10520,0,,0.00,0,,0.00000,0,,0,0
10520:10605-Analysis-Locked,10605,Generation-3,10563,Generation-2,10520,4,0,4.00,1,0,1.00000,0,0,0,0
10521:10521-Analysis-Locked,10521,Generation-1,,,10521,6,,0.00,5,,0.00000,0,,0,0
10521:10578-Analysis-Locked,10578,Generation-2,10521,Generation-1,10521,6,6,0.00,6,5,1.00000,0,0,0,0
10521:10606-Analysis-Locked,10606,Generation-3,10578,Generation-2,10521,7,6,1.00,8,6,2.00000,0,0,0,0
10521:10651-Analysis-Locked,10651,Generation-4,10606,Generation-3,10521,3,7,-4.00,0,8,-8.00000,0,0,0,0
10522:10522-Analysis-Locked,10522,Generation-1,,,10522,4,,0.00,0,,0.00000,0,,0,0
10522:10569-Analysis-Locked,10569,Generation-2,10522,Generation-1,10522,5,4,1.00,0,0,0.00000,0,0,0,0
10522:10611-Analysis-Locked,10611,Generation-3,10569,Generation-2,10522,5,5,0.00,1,0,1.00000,0,0,0,0
10522:10642-Analysis-Locked,10642,Generation-4,10611,Generation-3,10522,6,5,1.00,2,1,1.00000,0,0,0,0
10523:10523-Analysis-Locked,10523,Generation-1,,,10523,6,,0.00,6,,0.00000,0,,0,0
