Name,Description,DataType,IsOptional,IsList,DefaultValue,ExampleValue,SortOrder,Aliases
authenticate,Authenticate as a user with Auth0 integration,bool,TRUE,FALSE,,-authenticate,1,
whoami,Check who you are currently operating as,bool,TRUE,FALSE,,whoami,2,
demoPassword,the user's password,string,TRUE,FALSE,,pwd123,3,
bodyData,Raw data provided,string,TRUE,FALSE,,{'cell…},5,
bodyFile,Path to file to use,string,TRUE,FALSE,,Cell.json,6,
runas,Who to run as,string,FALSE,FALSE,Guest,Admin,7,as
amqps,AMQPS Connection String,string,FALSE,FALSE,amqps://smqPublic:smqPublic@effortlessapi-rmq.ssot.me/ej-syntax-locked-vs-syntax-free,amqps://smqPublic:smqPublic@effortlessapi-rmq.ssot.me/ej-syntax-locked-vs-syntax-free,8,
where,Limit the where clause,string,TRUE,FALSE,,IsActive=1,9,
output,Output file name,string,TRUE,FALSE,,output.json,10,
help,Get help on a given topic,bool,TRUE,FALSE,FALSE,specific topic,11,
action,The specific command to execute.,string,TRUE,FALSE,,AddCell,12,
maxpages,Maximum number of pages to return in the results,int,TRUE,FALSE,,-maxpages 3,13,
view,Which view in the data source to pull data from.,string,TRUE,FALSE,,-view 'Summary Data',14,
apikey,Airtable API key to use for requests.,string,TRUE,FALSE,,-apikey 'key1234',15,
baseid,ID of Airtable base you're querying.,string,TRUE,FALSE,,-baseid 'app1234',16,
projectname,Name of project that is being used will be saved with the Airtable credentials.,string,TRUE,FALSE,,-projectname 'task-manager',17,
makeDefault,Flag to set the email+apikey as default,bool,TRUE,FALSE,FALSE,-makeDefault user-xyz@ssot.me,18,
emailAddress,User's email address,string,TRUE,FALSE,,-emailAddress=your-airtable-user@domain.com,19,
listStageInfo,Lists the project's available stages,bool,TRUE,FALSE,,=-listStageInfo
stage,A stage for the project,string,TRUE,FALSE,,-stage develop,21,
startServer,Start http://localhost:4242 server to respond to services,bool,TRUE,FALSE,,-startServer,22,
restEndpoint,The http REST endpoint to connect to in order to get data,string,TRUE,FALSE,,-restEndpoint https://localhost/,25,
