Name,ArtifactIdentifier,GenerationName,PrevGenArtifactIdentifier,PrevGenName,RootArtifactIdentifier,CountOfAKAs,PrevGenCountOfAKAs,ChangeInAKAs,TrialArtifact,ExpTransformerIsSyntaxFree,Trial
10519:10519-Analysis-Locked,10519,104-To Do App-Generation-1,,,10519,1.000,,1.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10519-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10519:10574-Analysis-Locked,10574,104-To Do App-Generation-2,10519,104-To Do App-Generation-1,10519,5.000,1.000,4.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10574-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10519:10616-Analysis-Locked,10616,104-To Do App-Generation-3,10574,104-To Do App-Generation-2,10519,1.000,5.000,4.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10616-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10519:10649-Analysis-Locked,10649,104-To Do App-Generation-4,10616,104-To Do App-Generation-3,10519,0.000,1.000,1.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10649-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10520:10563-Analysis-Locked,10563,104-To Do App-Generation-2,,,10520,0.000,,0.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10563-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10520:10605-Analysis-Locked,10605,104-To Do App-Generation-3,10563,104-To Do App-Generation-2,10520,1.000,0.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10605-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10521:10521-Analysis-Locked,10521,104-To Do App-Generation-1,,,10521,5.000,,5.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10521-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10521:10578-Analysis-Locked,10578,104-To Do App-Generation-2,10521,104-To Do App-Generation-1,10521,6.000,5.000,1.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10578-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10521:10606-Analysis-Locked,10606,104-To Do App-Generation-3,10578,104-To Do App-Generation-2,10521,8.000,6.000,2.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10606-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10521:10651-Analysis-Locked,10651,104-To Do App-Generation-4,10606,104-To Do App-Generation-3,10521,0.000,8.000,8.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10651-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10522:10522-Analysis-Locked,10522,104-To Do App-Generation-1,,,10522,0.000,,0.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10522-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10522:10569-Analysis-Locked,10569,104-To Do App-Generation-2,10522,104-To Do App-Generation-1,10522,0.000,0.000,0.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10569-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10522:10611-Analysis-Locked,10611,104-To Do App-Generation-3,10569,104-To Do App-Generation-2,10522,1.000,0.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10611-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10522:10642-Analysis-Locked,10642,104-To Do App-Generation-4,10611,104-To Do App-Generation-3,10522,2.000,1.000,1.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10642-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10523:10523-Analysis-Locked,10523,104-To Do App-Generation-1,,,10523,6.000,,6.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10523-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10523:10564-Analysis-Locked,10564,104-To Do App-Generation-2,10523,104-To Do App-Generation-1,10523,5.000,6.000,1.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10564-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10523:10615-Analysis-Locked,10615,104-To Do App-Generation-3,10564,104-To Do App-Generation-2,10523,6.000,5.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10615-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10523:10653-Analysis-Locked,10653,104-To Do App-Generation-4,10615,104-To Do App-Generation-3,10523,0.000,6.000,6.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10653-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10524:10524-Analysis-Locked,10524,104-To Do App-Generation-1,,,10524,4.000,,4.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10524-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10524:10568-Analysis-Locked,10568,104-To Do App-Generation-2,10524,104-To Do App-Generation-1,10524,4.000,4.000,0.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10568-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10524:10618-Analysis-Locked,10618,104-To Do App-Generation-3,10568,104-To Do App-Generation-2,10524,8.000,4.000,4.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10618-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10524:10656-Analysis-Locked,10656,104-To Do App-Generation-4,10618,104-To Do App-Generation-3,10524,6.000,8.000,2.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10656-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10525:10525-Analysis-Locked,10525,104-To Do App-Generation-1,,,10525,2.000,,2.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10525-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10525:10562-Analysis-Locked,10562,104-To Do App-Generation-2,10525,104-To Do App-Generation-1,10525,5.000,2.000,3.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10562-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10525:10601-Analysis-Locked,10601,104-To Do App-Generation-3,10562,104-To Do App-Generation-2,10525,4.000,5.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10601-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10525:10641-Analysis-Locked,10641,104-To Do App-Generation-4,10601,104-To Do App-Generation-3,10525,1.000,4.000,3.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10641-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10526:10526-Analysis-Locked,10526,104-To Do App-Generation-1,,,10526,5.000,,5.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10526-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10526:10572-Analysis-Locked,10572,104-To Do App-Generation-2,10526,104-To Do App-Generation-1,10526,4.000,5.000,1.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10572-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10526:10600-Analysis-Locked,10600,104-To Do App-Generation-3,10572,104-To Do App-Generation-2,10526,0.000,4.000,4.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10600-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10526:10643-Analysis-Locked,10643,104-To Do App-Generation-4,10600,104-To Do App-Generation-3,10526,6.000,0.000,6.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10643-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10527:10527-Analysis-Locked,10527,104-To Do App-Generation-1,,,10527,4.000,,4.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10527-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10527:10571-Analysis-Locked,10571,104-To Do App-Generation-2,10527,104-To Do App-Generation-1,10527,1.000,4.000,3.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10571-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10527:10602-Analysis-Locked,10602,104-To Do App-Generation-3,10571,104-To Do App-Generation-2,10527,0.000,1.000,1.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10602-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10527:10639-Analysis-Locked,10639,104-To Do App-Generation-4,10602,104-To Do App-Generation-3,10527,1.000,0.000,1.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10639-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10528:10528-Analysis-Locked,10528,104-To Do App-Generation-1,,,10528,5.000,,5.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10528-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10528:10561-Analysis-Locked,10561,104-To Do App-Generation-2,10528,104-To Do App-Generation-1,10528,7.000,5.000,2.000,1021-LOCKED-104-To Do App-Generation-2--5018-LOCKED-Add assigned to attr-2024-08-01-10561-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10528:10609-Analysis-Locked,10609,104-To Do App-Generation-3,10561,104-To Do App-Generation-2,10528,7.000,7.000,0.000,1022-LOCKED-104-To Do App-Generation-3--5020-LOCKED-Add the notion of du-2024-08-01-10609-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10528:10648-Analysis-Locked,10648,104-To Do App-Generation-4,10609,104-To Do App-Generation-3,10528,8.000,7.000,1.000,1027-LOCKED-104-To Do App-Generation-4--5022-LOCKED-Remove employee from-2024-08-01-10648-Trial-506,0,104-To Do App-Trial-506-2024-08-01
10529:10529-Analysis-Locked,10529,104-To Do App-Generation-1,,,10529,5.000,,5.000,1020-LOCKED-104-To Do App-Generation-1--5017-LOCKED-Write a 1 paragraph -2024-08-01-10529-Trial-506,0,104-To Do App-Trial-506-2024-08-01
