Name,ArtifactIdentifier,GenerationName,PrevGenArtifactIdentifier,PrevGenName,RootArtifactIdentifier,CountOfCharacteristics,PrevGenCountOfCharacteristics,ChangeInCharacteristics,CountOfAKAs,PrevGenCountOfAKAs,ChangeInAKAs,ExpTransformerIsSyntaxFree
12325:12325-Analysis-Locked,12325,106-Long Prompt Experiment-Generation-1,,,12325,6.000,,0.000000,8.000,,0.000,0
12325:12326-Analysis-Locked,12326,106-Long Prompt Experiment-Generation-2,12334,106-Long Prompt Experiment-Generation-10,12325,8.000,1.000,7.000000,8.000,0.000,8.000,0
12325:12327-Analysis-Locked,12327,106-Long Prompt Experiment-Generation-3,12326,106-Long Prompt Experiment-Generation-2,12325,4.000,8.000,4.000000,6.000,8.000,2.000,0
12325:12328-Analysis-Locked,12328,106-Long Prompt Experiment-Generation-4,12327,106-Long Prompt Experiment-Generation-3,12325,7.000,4.000,3.000000,8.000,6.000,2.000,0
12325:12329-Analysis-Locked,12329,106-Long Prompt Experiment-Generation-5,12328,106-Long Prompt Experiment-Generation-4,12325,7.000,7.000,0.000000,8.000,8.000,0.000,0
12325:12330-Analysis-Locked,12330,106-Long Prompt Experiment-Generation-6,12329,106-Long Prompt Experiment-Generation-5,12325,5.000,7.000,2.000000,10.000,8.000,2.000,0
12325:12331-Analysis-Locked,12331,106-Long Prompt Experiment-Generation-7,12330,106-Long Prompt Experiment-Generation-6,12325,0.000,5.000,5.000000,0.000,10.000,10.000,0
12325:12332-Analysis-Locked,12332,106-Long Prompt Experiment-Generation-8,12331,106-Long Prompt Experiment-Generation-7,12325,2.000,0.000,2.000000,0.000,0.000,0.000,0
12325:12333-Analysis-Locked,12333,106-Long Prompt Experiment-Generation-9,12332,106-Long Prompt Experiment-Generation-8,12325,0.000,2.000,2.000000,0.000,0.000,0.000,0
12325:12334-Analysis-Locked,12334,106-Long Prompt Experiment-Generation-10,12325,106-Long Prompt Experiment-Generation-1,12325,1.000,6.000,5.000000,0.000,8.000,8.000,0
12345:12345-Analysis-Locked,12345,106-Long Prompt Experiment-Generation-1,,,12345,4.000,,0.000000,2.000,,0.000,0
12345:12346-Analysis-Locked,12346,106-Long Prompt Experiment-Generation-2,12354,106-Long Prompt Experiment-Generation-10,12345,5.000,2.000,3.000000,1.000,0.000,1.000,0
12345:12347-Analysis-Locked,12347,106-Long Prompt Experiment-Generation-3,12346,106-Long Prompt Experiment-Generation-2,12345,4.000,5.000,1.000000,2.000,1.000,1.000,0
12345:12348-Analysis-Locked,12348,106-Long Prompt Experiment-Generation-4,12347,106-Long Prompt Experiment-Generation-3,12345,4.000,4.000,0.000000,2.000,2.000,0.000,0
12345:12349-Analysis-Locked,12349,106-Long Prompt Experiment-Generation-5,12348,106-Long Prompt Experiment-Generation-4,12345,6.000,4.000,2.000000,2.000,2.000,0.000,0
12345:12350-Analysis-Locked,12350,106-Long Prompt Experiment-Generation-6,12349,106-Long Prompt Experiment-Generation-5,12345,6.000,6.000,0.000000,3.000,2.000,1.000,0
12345:12351-Analysis-Locked,12351,106-Long Prompt Experiment-Generation-7,12350,106-Long Prompt Experiment-Generation-6,12345,13.000,6.000,7.000000,0.000,3.000,3.000,0
12345:12352-Analysis-Locked,12352,106-Long Prompt Experiment-Generation-8,12351,106-Long Prompt Experiment-Generation-7,12345,2.000,13.000,11.000000,0.000,0.000,0.000,0
12345:12353-Analysis-Locked,12353,106-Long Prompt Experiment-Generation-9,12352,106-Long Prompt Experiment-Generation-8,12345,0.000,2.000,2.000000,0.000,0.000,0.000,0
12345:12354-Analysis-Locked,12354,106-Long Prompt Experiment-Generation-10,12345,106-Long Prompt Experiment-Generation-1,12345,2.000,4.000,2.000000,0.000,2.000,2.000,0
12365:12365-Analysis-Locked,12365,106-Long Prompt Experiment-Generation-1,,,12365,0.000,,0.000000,0.000,,0.000,0
12365:12366-Analysis-Locked,12366,106-Long Prompt Experiment-Generation-2,12374,106-Long Prompt Experiment-Generation-10,12365,4.000,1.000,3.000000,1.000,0.000,1.000,0
12365:12367-Analysis-Locked,12367,106-Long Prompt Experiment-Generation-3,12366,106-Long Prompt Experiment-Generation-2,12365,3.000,4.000,1.000000,2.000,1.000,1.000,0
12365:12368-Analysis-Locked,12368,106-Long Prompt Experiment-Generation-4,12367,106-Long Prompt Experiment-Generation-3,12365,3.000,3.000,0.000000,2.000,2.000,0.000,0
12365:12369-Analysis-Locked,12369,106-Long Prompt Experiment-Generation-5,12368,106-Long Prompt Experiment-Generation-4,12365,3.000,3.000,0.000000,0.000,2.000,2.000,0
12365:12370-Analysis-Locked,12370,106-Long Prompt Experiment-Generation-6,12369,106-Long Prompt Experiment-Generation-5,12365,4.000,3.000,1.000000,0.000,0.000,0.000,0
12365:12371-Analysis-Locked,12371,106-Long Prompt Experiment-Generation-7,12370,106-Long Prompt Experiment-Generation-6,12365,0.000,4.000,4.000000,0.000,0.000,0.000,0
12365:12372-Analysis-Locked,12372,106-Long Prompt Experiment-Generation-8,12371,106-Long Prompt Experiment-Generation-7,12365,3.000,0.000,3.000000,0.000,0.000,0.000,0
12365:12373-Analysis-Locked,12373,106-Long Prompt Experiment-Generation-9,12372,106-Long Prompt Experiment-Generation-8,12365,0.000,3.000,3.000000,0.000,0.000,0.000,0
